FROTO.IS,Ford Otomotiv Sanayi A.S.
GSDDE.IS,GSD Denizcilik Gayrimenkul Insaat Sanayi ve Ticaret A.S.
GENTS.IS,Gentas Dekoratif Yuzeyler Sanayi ve Ticaret A.S.
INFO.IS,Info Yatirim Menkul Degerler A.S.
MAKTK.IS,Makina Takim Endustrisi A.S.
BAKAB.IS,Bak Ambalaj Sanayi ve Ticaret A.S.
MSGYO.IS,Mistral Gayrimenkul Yatirim Ortakligi A.S.
PAGYO.IS,Panora Gayrimenkul Yatirim Ortakligi A.S.
FADE.IS,Fade Gida Yatirim Sanayi Ticaret Anonim Sirketi
SAYAS.IS,Say Yenilenebilir Enerji Ekipmanlari Sanayi ve Ticaret A.S.
ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.
ANELE.IS,Anel Elektrik Proje Taahhut ve Ticaret Anonim Sirketi
FONET.IS,Fonet Bilgi Teknolojileri Anonim Sirketi
VBTYZ.IS,VBT Yazilim Anonim Sirketi
DURDO.IS,Duran Dogan Basim ve Ambalaj Sanayi A.S.
KNFRT.IS,Konfrut Gida Sanayi ve Ticaret A.S.
MNDRS.IS,Menderes Tekstil Sanayi ve Ticaret Anonim Sirketi
ORGE.IS,Orge Enerji Elektrik Taahhut Anonim Sirketi
KRONT.IS,Kron Telekomunikasyon Hizmetleri A.S.
FRIGO.IS,Frigo-Pak Gida Maddeleri Sanayi ve Ticaret A.S.
ITTFH.IS,Ittifak Holding A.S.
LUKSK.IS,Luks Kadife Ticaret ve Sanayi A.S.
RALYH.IS,Ral Yatirim Holding A.S.
DITAS.IS,Ditas Dogan Yedek Parca Imalat ve Teknik A.S.
ISYAT.IS,Is Yatirim Ortakligi A.S.
PAPIL.IS,Papilon Savunma-Guvenlik Sistemleri Bilisim Muhendislik Hizmetleri Ithalat Ihracat Sanayi ve Ticaret
EPLAS.IS,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi
DMSAS.IS,Demisas Dokum Emaye Mamulleri Sanayi Anonim Sirketi
AVOD.IS,A.V.O.D. Kurutulmus Gida ve Tarim urunleri A.S.
YESIL.IS,Yesil Yatirim Holding Anonim Sirketi
IDEAS.IS,Idealist Danismanlik A.S.
CEOEM.IS,Ceo Event Medya A.S.
GEREL.IS,Gersan Elektrik Ticaret ve Sanayi Anonim Sirketi
DENGE.IS,Denge Yatirim Holding A.S.
TUCLK.IS,Tugcelik Aluminyum Ve Metal Mamulleri Sanayi Ve Ticaret A.S.
DESA.IS,Desa Deri Sanayi ve Ticaret A.S.
SKTAS.IS,Soktas Tekstil Sanayi Ve Ticaret A.S.
OZGYO.IS,Ozderici Gayrimenkul Yatirim Ortakligi A.S.
YAPRK.IS,Yaprak Sut ve Besi ciftlikleri Sanayi ve Ticaret A.S.
LKMNH.IS,Lokman Hekim Engurusag Saglik, Turizm, Egitim Hizmetleri ve Insaat Taahhut A.S.
USAK.IS,Usak Seramik Sanayi A.S.
PKART.IS,Plastikkart Akilli Kart Iletisim Sistemleri Sanayi ve Ticaret A.S.
METRO.IS,Metro Ticari ve Mali Yatirimlar Holding A.S.
ALMAD.IS,Altinyag Madencilik ve Enerji Yatirimlari Sanayi ve Ticaret A.S.
GEDZA.IS,Gediz Ambalaj Sanayi ve Ticaret A.S.
KRGYO.IS,Korfez Gayrimenkul Yatirim Ortakligi A.S.
SANFM.IS,Sanifoam Sunger Sanayi ve Ticaret A.S.
TEKTU.IS,Tek-Art Insaat Ticaret Turizm Sanayi ve Yatirimlar Anonim Sirketi
NIBAS.IS,Nigbas Nigde Beton Sanayi Ve Ticaret A.S.
DGATE.IS,Datagate Bilgisayar Malzemeleri Ticaret Anonim Sriketi
KFEIN.IS,Kafein Yazilim Hizmetleri Ticaret A.S.
BNTAS.IS,Bantas Bandirma Ambalaj Sanayi ve Ticaret A.S.
CRDFA.IS,Creditwest Faktoring Anonim Sirketi
ADESE.IS,Adese Gayrimenkul Yatirim A.S.
PINSU.IS,Pinar Su ve Icecek Sanayi ve Ticaret A.S.
YUNSA.IS,Yunsa Yunlu Sanayi ve Ticaret A.S.
DAGI.IS,Dagi Giyim Sanayi ve Ticaret A.S.
HATEK.IS,Hateks Hatay Tekstil Isletmeleri A.S.
GLRYH.IS,Guler Yatirim Holding A.S.
MERKO.IS,Merko Gida Sanayi ve Ticaret A.S.
FORMT.IS,Formet Celik Kapi Sanayi ve Ticaret A.S.
IZTAR.IS,Iz Hayvancilik Tarim ve Gida Sanayi Ticaret A.S.
LINK.IS,Link Bilgisayar Sistemleri Yazilimi ve Donanimi Sanayi ve Ticaret A.S.
BMSCH.IS,Bms Celik Hasir Sanayi Ve Ticaret Anonim Sirketi
VKING.IS,Viking Kagit ve Seluloz A.S.
HUBVC.IS,Hub Girisim Sermayesi Yatirim Ortakligi A.S.
KUYAS.IS,Kuyumcukent Gayrimenkul Yatirimlari A.S.
KRTEK.IS,Karsu Tekstil Sanayii ve Ticaret A.S.
CELHA.IS,celik Halat ve Tel Sanayii A.S.
LIDFA.IS,Lider Faktoring A.S.
OSTIM.IS,Ostim Endustriyel Yatirimlar ve Isletme A.S.
OYLUM.IS,Oylum Sinai Yatirimlar Anonim Sirketi
SEKUR.IS,Sekuro Plastik Ambalaj Sanayi A.S.
EDIP.IS,Edip Gayrimenkul Yatirim Sanayi ve Ticaret A.S.
KRSTL.IS,Kristal Kola ve Mesrubat Sanayi Ticaret A.S.
SAFKR.IS,Safkar Ege Sogutmacilik Klima Soguk Hava Tesisleri Ihracat Ithalat Sanayi ve Ticaret A.S.
YYAPI.IS,Yesil Yapi Endustrisi A.S.
TGSAS.IS,TGS Dis Ticaret Anonim Sirketi
SEKFK.IS,Seker Finansal Kiralama A.S.
DERIM.IS,Derimod Konfeksiyon Ayakkabi Deri Sanayi ve Ticaret A.S.
ESCOM.IS,Escort Teknoloji Yatirim A.S.
GLBMD.IS,Global Menkul Degerler Anonim Sirketi
SILVR.IS,Silverline Endustri ve Ticaret A.S.
AKYHO.IS,Akdeniz Yatirim Holding A.S.
FLAP.IS,Flap Kongre Toplanti Hizmetleri Otomotiv ve Turizm A.S.
MEPET.IS,Mepet Metro Petrol ve Tesisleri Sanayi Ticaret A.S.
DESPC.IS,Despec Bilgisayar Pazarlama ve Ticaret Anonim Sirketi
ETILR.IS,Etiler Gida Ve Ticari Yatirimlar Sanayi Ve Ticaret Anonim Sirketi
MARTI.IS,Marti Otel Isletmeleri A.S.
EMKEL.IS,Emek Elektrik Endustrisi Anonim Sirketi
PEGYO.IS,PERA Gayrimenkul Yatirim Ortakligi AS
AVGYO.IS,Avrasya Gayrimenkul Yatirim Ortakligi Anonim Sirketi
BALAT.IS,Balatacilar Balatacilik Sanayi Ve Ticaret A.S.
TDGYO.IS,Trend Gayrimenkul Yatirim Ortakligi A.S.
TMPOL.IS,Temapol Polimer Plastik ve Insaat Sanayi Ticaret A.S.
MEGAP.IS,Mega Polietilen Kopuk Sanayi ve Ticaret Anonim Sirketi
EUHOL.IS,Euro Yatirim Holding A.S.
AVHOL.IS,Avrupa Yatirim Holding A.S.
VKFYO.IS,Vakif Menkul Kiymet Yatirim Ortakligi A.S.
BURCE.IS,Burcelik Bursa celik Dokum Sanayii A.S.
OZRDN.IS,ozerden Plastik Sanayi ve Ticaret A.S.
ACSEL.IS,Aciselsan Acipayam Seluloz Sanayi Ve Ticaret A.S.
PSDTC.IS,Pergamon Status Dis Ticaret A.S.
BAYRK.IS,Bayrak EBT Taban Sanayi ve Ticaret Anonim Sirketi
SMART.IS,Smartiks Yazilim A.S.
ERSU.IS,Ersu Meyve ve Gida Sanayii A.S.
YAYLA.IS,Yayla Enerji uretim Turizm ve Insaat Ticaret A.S.
METUR.IS,Metemtur Yatirim Enerji Turizm ve Insaat Anonim Sirketi
VANGD.IS,Vanet Gida Sanayi Ic Ve Dis Ticaret Anonim Sirketi
BURVA.IS,Burcelik Vana Sanayi ve Ticaret A.S.
OYAYO.IS,Oyak Yatirim Ortakligi AS
PRZMA.IS,Prizma Pres Matbaacilik Yayincilik Sanayi ve Ticaret A.S.
SAMAT.IS,Saray Matbaacilik Kagitcilik kirtasiyecilik Ticaret Ve Sanayi A.S.
DERHL.IS,Derluks Yatirim Holding Anonim Sirketi
DAGHL.IS,Dagi Yatirim Holding A.S.
DOGUB.IS,Dogusan Boru Sanayi ve Ticaret A.S.
BRKSN.IS,Berkosan Yalitim Ve Tecrit Maddeleri uretim Ve Ticaret A.S.
IZFAS.IS,Izmir Firca Sanayi ve Ticaret Anonim Sirketi
AVTUR.IS,Avrasya Petrol ve Turistik Tesisler Yatirimlar Anonim Sirketi
IDGYO.IS,Idealist Gayrimenkul Yatirim Ortakligi A.S.
RHEAG.IS,Rhea Girisim Sermayesi Yatirim Ortakligi A.S.
RODRG.IS,Rodrigo Tekstil Sanayi ve Ticaret A.S.
ULAS.IS,Ulaslar Turizm Yatirimlari ve Dayanikli Tuketim Mallari Ticaret Pazarlama A.S.
ATAGY.IS,Ata Gayrimenkul Yatirim Ortakligi A.S.
GRNYO.IS,Garanti Yatirim Ortakligi A.S.
SANEL.IS,San-el Muhendislik Elektrik Taahhut Sanayi ve Ticaret A.S.
SELGD.IS,Selcuk Gida Endustri Ihracat Ithalat A.S.
MARKA.IS,Marka Yatirim Holding A.S.
ATLAS.IS,Atlas Menkul Kiymetler Yatirim Ortakligi A.S.
EUKYO.IS,Euro Kapital Yatirim Ortakligi Anonim Sirketi
EUYO.IS,Euro Menkul Kiymet Yatirim Ortakligi Anonim Sirketi
MTRYO.IS,Metro Yatirim Ortakligi A.S.
ETYAT.IS,Euro Trend Yatirim Ortakligi A.S.
DIRIT.IS,Diriteks Dirilis Tekstil Sanayi ve Ticaret A.S.
MAGEN.IS,Margun Enerji uretim Sanayi ve Ticaret Anonim Sirketi
